x,y
1.000,1.000
1.150,1.050
1.250,1.050
1.350,1.050
1.450,1.050
1.550,1.050
1.650,1.050
1.750,1.050
1.850,1.050
1.950,1.050
2.050,1.050
2.150,1.050
2.250,1.050
2.350,1.050
2.450,1.050
2.550,1.050
2.650,1.050
2.750,1.050
2.850,1.050
2.950,1.050
3.050,1.050
3.150,1.050
3.250,1.050
3.350,1.050
3.450,1.050
3.550,1.050
3.650,1.050
3.750,1.050
3.850,1.050
3.950,1.150
4.050,1.250
4.150,1.350
4.250,1.450
4.350,1.550
4.450,1.650
4.550,1.750
4.550,1.850
4.550,1.950
4.650,2.050
4.650,2.150
4.650,2.250
4.650,2.350
4.550,2.450
4.450,2.550
4.350,2.650
4.250,2.750
4.150,2.850
4.050,2.950
3.950,3.050
3.850,3.150
3.750,3.250
3.650,3.350
3.550,3.450
3.450,3.550
3.450,3.650
3.450,3.750
3.350,3.850
3.350,3.950
3.350,4.050
3.350,4.150
3.450,4.250
3.550,4.350
3.650,4.450
3.750,4.550
3.850,4.650
3.950,4.750
